"","borough","year","party","seats","leader","clerk","control"
"317.3","Camden",2005,"Liberal Democrats",8,"Jane Roberts","Moira Gibb","Labour"
"318.1","Camden",2006,"Liberal Democrats",20,"Keith Moffitt","Moira Gibb","No Overall Control"
"318.2","Camden",2006,"Labour Party",18,"Keith Moffitt","Moira Gibb","No Overall Control"
"318.3","Camden",2006,"Conservative",14,"Keith Moffitt","Moira Gibb","No Overall Control"
"318.4","Camden",2006,"Green Party",2,"Keith Moffitt","Moira Gibb","No Overall Control"
"319.1","Camden",2007,"Liberal Democrats",22,"Keith Moffitt","Moira Gibb","No Overall Control"
"319.2","Camden",2007,"Labour Party",16,"Keith Moffitt","Moira Gibb","No Overall Control"
"319.3","Camden",2007,"Conservative",14,"Keith Moffitt","Moira Gibb","No Overall Control"
"319.4","Camden",2007,"Green Party",2,"Keith Moffitt","Moira Gibb","No Overall Control"
"320.1","Camden",2008,"Liberal Democrats",21,"Keith Moffitt","Moira Gibb","No Overall Control"
"320.2","Camden",2008,"Labour Party",16,"Keith Moffitt","Moira Gibb","No Overall Control"
"320.3","Camden",2008,"Conservative",12,"Keith Moffitt","Moira Gibb","No Overall Control"
"320.4","Camden",2008,"Green Party",3,"Keith Moffitt","Moira Gibb","No Overall Control"
"320.5","Camden",2008,"Vacancies",2,"Keith Moffitt","Moira Gibb","No Overall Control"
"321.1","Camden",2009,"Liberal Democrats",24,"Keith Moffitt","Moira Gibb","No Overall ControlCoalition of Lib Dems and Conservatives"
"321.2","Camden",2009,"Labour Party",15,"Keith Moffitt","Moira Gibb","No Overall ControlCoalition of Lib Dems and Conservatives"
"321.3","Camden",2009,"Conservative",12,"Keith Moffitt","Moira Gibb","No Overall ControlCoalition of Lib Dems and Conservatives"
"321.4","Camden",2009,"Green Party",3,"Keith Moffitt","Moira Gibb","No Overall ControlCoalition of Lib Dems and Conservatives"
"321.5","Camden",2009,"Vacancies",1,"Keith Moffitt","Moira Gibb","No Overall ControlCoalition of Lib Dems and Conservatives"
"322.1","Camden",2010,"Labour Party",30,"Nasim Ali","Moira Gibb","Labour"
"322.2","Camden",2010,"Liberal Democrats",13,"Nasim Ali","Moira Gibb","Labour"
"322.3","Camden",2010,"Conservative",9,"Nasim Ali","Moira Gibb","Labour"
"322.4","Camden",2010,"Green Party",1,"Nasim Ali","Moira Gibb","Labour"
"322.5","Camden",2010,"Vacancies",1,"Nasim Ali","Moira Gibb","Labour"
"323.1","Camden",2011,"Labour Party",29,"Nasim Ali","Moira Gibb","Labour"
"323.2","Camden",2011,"Liberal Democrats",13,"Nasim Ali","Moira Gibb","Labour"
"323.3","Camden",2011,"Conservative",10,"Nasim Ali","Moira Gibb","Labour"
"323.4","Camden",2011,"Green Party",1,"Nasim Ali","Moira Gibb","Labour"
"323.5","Camden",2011,"Vacancies",1,"Nasim Ali","Moira Gibb","Labour"
"324.1","Camden",2012,"Labour Party",30,"Sarah Hayward","Mike Cooke","Labour"
"324.2","Camden",2012,"Liberal Democrats",13,"Sarah Hayward","Mike Cooke","Labour"
"324.3","Camden",2012,"Conservative",10,"Sarah Hayward","Mike Cooke","Labour"
"324.4","Camden",2012,"Green Party",1,"Sarah Hayward","Mike Cooke","Labour"
"325.1","Camden",2013,"Labour Party",30,"Sarah Hayward","Mike Cooke","Labour"
"325.2","Camden",2013,"Liberal Democrats",13,"Sarah Hayward","Mike Cooke","Labour"
"325.3","Camden",2013,"Conservative",10,"Sarah Hayward","Mike Cooke","Labour"
"325.4","Camden",2013,"Green Party",1,"Sarah Hayward","Mike Cooke","Labour"
"326.1","Camden",2014,"Labour Party",40,"Sarah Hayward","Mike Cooke","Labour"
"326.2","Camden",2014,"Conservative",12,"Sarah Hayward","Mike Cooke","Labour"
"326.3","Camden",2014,"Liberal Democrats",1,"Sarah Hayward","Mike Cooke","Labour"
"326.4","Camden",2014,"Green Party",1,"Sarah Hayward","Mike Cooke","Labour"
"327.1","Camden",2015,"Labour Party",40,"Sarah Hayward","Mike Cooke","Labour"
"327.2","Camden",2015,"Conservative",12,"Sarah Hayward","Mike Cooke","Labour"
"327.3","Camden",2015,"Liberal Democrats",1,"Sarah Hayward","Mike Cooke","Labour"
"327.4","Camden",2015,"Green Party",1,"Sarah Hayward","Mike Cooke","Labour"
"328.1","Camden",2016,"Labour Party",40,"Sarah Hayward","Mike Cooke","Labour"
"328.2","Camden",2016,"Conservative",12,"Sarah Hayward","Mike Cooke","Labour"
"328.3","Camden",2016,"Liberal Democrats",1,"Sarah Hayward","Mike Cooke","Labour"
"328.4","Camden",2016,"Green Party",1,"Sarah Hayward","Mike Cooke","Labour"
"329.1","Camden",2017,"Labour Party",39,"Georgia Gould","Mike Cooke","Labour"
"329.2","Camden",2017,"Conservative",11,"Georgia Gould","Mike Cooke","Labour"
"329.3","Camden",2017,"Independent",2,"Georgia Gould","Mike Cooke","Labour"
"329.4","Camden",2017,"Liberal Democrats",1,"Georgia Gould","Mike Cooke","Labour"
"329.5","Camden",2017,"Green Party",1,"Georgia Gould","Mike Cooke","Labour"
"330.1","Camden",2018,"Labour Party",43,"Georgia Gould","Jenny Rowlands","Labour"
"330.2","Camden",2018,"Conservative",7,"Georgia Gould","Jenny Rowlands","Labour"
"330.3","Camden",2018,"Liberal Democrats",3,"Georgia Gould","Jenny Rowlands","Labour"
"330.4","Camden",2018,"Green Party",1,"Georgia Gould","Jenny Rowlands","Labour"
"331.1","Croydon",1964,"Labour Party",21,"Albert John Dunn","Alan Blakemore","No Overall Control"
"331.2","Croydon",1964,"Conservative",21,"Albert John Dunn","Alan Blakemore","No Overall Control"
"331.3","Croydon",1964,"Independent",18,"Albert John Dunn","Alan Blakemore","No Overall Control"
"332.1","Croydon",1965,"Labour Party",21,"Albert John Dunn","Alan Blakemore","No Overall Control"
"332.2","Croydon",1965,"Conservative",21,"Albert John Dunn","Alan Blakemore","No Overall Control"
"332.3","Croydon",1965,"Independent",18,"Albert John Dunn","Alan Blakemore","No Overall Control"
"333.1","Croydon",1966,"Labour Party",21,"Albert John Dunn","Alan Blakemore","No Overall Control"
"333.2","Croydon",1966,"Conservative",21,"Albert John Dunn","Alan Blakemore","No Overall Control"
"333.3","Croydon",1966,"Independent",18,"Albert John Dunn","Alan Blakemore","No Overall Control"
"334.1","Croydon",1967,"Conservative",21,"Digby Milward Weightman","Alan Blakemore","No Overall Control"
"334.2","Croydon",1967,"Labour Party",21,"Digby Milward Weightman","Alan Blakemore","No Overall Control"
"334.3","Croydon",1967,"Independent",18,"Digby Milward Weightman","Alan Blakemore","No Overall Control"
"335.1","Croydon",1968,"Conservative",47,"Digby Milward Weightman","Alan Blakemore","Conservative"
"335.2","Croydon",1968,"Independent",11,"Digby Milward Weightman","Alan Blakemore","Conservative"
"335.3","Croydon",1968,"Labour Party",1,"Digby Milward Weightman","Alan Blakemore","Conservative"
"335.4","Croydon",1968,"Liberal Democrats",1,"Digby Milward Weightman","Alan Blakemore","Conservative"
"336.1","Croydon",1969,"Conservative",47,"Digby Milward Weightman","Alan Blakemore","Conservative"
"336.2","Croydon",1969,"Independent",11,"Digby Milward Weightman","Alan Blakemore","Conservative"
"336.3","Croydon",1969,"Labour Party",1,"Digby Milward Weightman","Alan Blakemore","Conservative"
"336.4","Croydon",1969,"Liberal Democrats",1,"Digby Milward Weightman","Alan Blakemore","Conservative"
"337.1","Croydon",1970,"Conservative",47,"Albert John Dunn","Alan Blakemore","Conservative"
"337.2","Croydon",1970,"Independent",11,"Albert John Dunn","Alan Blakemore","Conservative"
"337.3","Croydon",1970,"Liberal Democrats",1,"Albert John Dunn","Alan Blakemore","Conservative"
"337.4","Croydon",1970,"Labour Party",1,"Albert John Dunn","Alan Blakemore","Conservative"
"338.1","Croydon",1971,"Conservative",30,"Albert John Dunn","Alan Blakemore","Conservative"
"338.2","Croydon",1971,"Labour Party",27,"Albert John Dunn","Alan Blakemore","Conservative"
"338.3","Croydon",1971,"Independent",3,"Albert John Dunn","Alan Blakemore","Conservative"
"339.1","Croydon",1972,"Conservative",30,"Albert John Dunn","Alan Blakemore","Conservative"
"339.2","Croydon",1972,"Labour Party",27,"Albert John Dunn","Alan Blakemore","Conservative"
"339.3","Croydon",1972,"Independent",3,"Albert John Dunn","Alan Blakemore","Conservative"
"340.1","Croydon",1973,"Conservative",30,"Albert John Dunn","Alan Blakemore","Conservative"
"340.2","Croydon",1973,"Labour Party",27,"Albert John Dunn","Alan Blakemore","Conservative"
"340.3","Croydon",1973,"Independent",3,"Albert John Dunn","Alan Blakemore","Conservative"
"341.1","Croydon",1974,"Conservative",40,"Albert John Dunn","Alan Blakemore","Conservative"
"341.2","Croydon",1974,"Labour Party",17,"Albert John Dunn","Alan Blakemore","Conservative"
"341.3","Croydon",1974,"Independent",3,"Albert John Dunn","Alan Blakemore","Conservative"
"342.1","Croydon",1975,"Conservative",40,"Albert John Dunn","Alan Blakemore","Conservative"
"342.2","Croydon",1975,"Labour Party",17,"Albert John Dunn","Alan Blakemore","Conservative"
"342.3","Croydon",1975,"Independent",3,"Albert John Dunn","Alan Blakemore","Conservative"
"343.1","Croydon",1976,"Conservative",40,"Peter Bowness","Alan Blakemore","Conservative"
"343.2","Croydon",1976,"Labour Party",17,"Peter Bowness","Alan Blakemore","Conservative"
"343.3","Croydon",1976,"Independent",3,"Peter Bowness","Alan Blakemore","Conservative"
"344.1","Croydon",1977,"Conservative",40,"Peter Bowness","Alan Blakemore","Conservative"
"344.2","Croydon",1977,"Labour Party",17,"Peter Bowness","Alan Blakemore","Conservative"
"344.3","Croydon",1977,"Independent",3,"Peter Bowness","Alan Blakemore","Conservative"
"345.1","Croydon",1978,"Conservative",56,"Peter Bowness","Alan Blakemore","Conservative"
"345.2","Croydon",1978,"Labour Party",11,"Peter Bowness","Alan Blakemore","Conservative"
"345.3","Croydon",1978,"Independent",3,"Peter Bowness","Alan Blakemore","Conservative"
"346.1","Croydon",1979,"Conservative",56,"Stanley Elliott Littlechild","Alan Blakemore","Conservative"
"346.2","Croydon",1979,"Labour Party",11,"Stanley Elliott Littlechild","Alan Blakemore","Conservative"
"346.3","Croydon",1979,"Independent",3,"Stanley Elliott Littlechild","Alan Blakemore","Conservative"
"347.1","Croydon",1980,"Conservative",56,"Peter Bowness","Alan Blakemore","Conservative"
"347.2","Croydon",1980,"Labour Party",11,"Peter Bowness","Alan Blakemore","Conservative"
"347.3","Croydon",1980,"Independent",3,"Peter Bowness","Alan Blakemore","Conservative"
"348.1","Croydon",1981,"Conservative",56,"Peter Bowness","Alan Blakemore","Conservative"
"348.2","Croydon",1981,"Labour Party",11,"Peter Bowness","Alan Blakemore","Conservative"
"348.3","Croydon",1981,"Independent",3,"Peter Bowness","Alan Blakemore","Conservative"
"349.1","Croydon",1982,"Conservative",62,"Peter Bowness","Frank Birch","Conservative"
"349.2","Croydon",1982,"Labour Party",5,"Peter Bowness","Frank Birch","Conservative"
"349.3","Croydon",1982,"Independent",3,"Peter Bowness","Frank Birch","Conservative"
"350.1","Croydon",1983,"Conservative",62,"Peter Bowness","Frank Birch","Conservative"
"350.2","Croydon",1983,"Labour Party",5,"Peter Bowness","Frank Birch","Conservative"
"350.3","Croydon",1983,"Independent",3,"Peter Bowness","Frank Birch","Conservative"
"351.1","Croydon",1984,"Conservative",62,"Peter Bowness","Frank Birch","Conservative"
"351.2","Croydon",1984,"Labour Party",5,"Peter Bowness","Frank Birch","Conservative"
"351.3","Croydon",1984,"Independent",3,"Peter Bowness","Frank Birch","Conservative"
"352.1","Croydon",1985,"Conservative",62,"Peter Bowness","Frank Birch","Conservative"
"352.2","Croydon",1985,"Labour Party",5,"Peter Bowness","Frank Birch","Conservative"
"352.3","Croydon",1985,"Independent",3,"Peter Bowness","Frank Birch","Conservative"
"353.1","Croydon",1986,"Conservative",44,"Peter Bowness","Frank Birch","Conservative"
"353.2","Croydon",1986,"Labour Party",26,"Peter Bowness","Frank Birch","Conservative"
"354.1","Croydon",1987,"Conservative",44,"Peter Bowness","Frank Birch","Conservative"
"354.2","Croydon",1987,"Labour Party",26,"Peter Bowness","Frank Birch","Conservative"
"355.1","Croydon",1988,"Conservative",44,"Peter Bowness","Frank Birch","Conservative"
"355.2","Croydon",1988,"Labour Party",26,"Peter Bowness","Frank Birch","Conservative"
"356.1","Croydon",1989,"Conservative",44,"Peter Bowness","Frank Birch","Conservative"
"356.2","Croydon",1989,"Labour Party",26,"Peter Bowness","Frank Birch","Conservative"
"357.1","Croydon",1990,"Conservative",41,"Peter Bowness","Roger Jefferies","Conservative"
"357.2","Croydon",1990,"Labour Party",29,"Peter Bowness","Roger Jefferies","Conservative"
"358.1","Croydon",1991,"Conservative",41,"Peter Bowness","Roger Jefferies","Conservative"
"358.2","Croydon",1991,"Labour Party",29,"Peter Bowness","Roger Jefferies","Conservative"
"359.1","Croydon",1992,"Conservative",41,"Peter Bowness","Roger Jefferies","Conservative"
"359.2","Croydon",1992,"Labour Party",29,"Peter Bowness","Roger Jefferies","Conservative"
"360.1","Croydon",1993,"Conservative",40,"Peter Bowness","David Wechsler","Conservative"
"360.2","Croydon",1993,"Labour Party",29,"Peter Bowness","David Wechsler","Conservative"
"360.3","Croydon",1993,"Vacancies",1,"Peter Bowness","David Wechsler","Conservative"
"361.1","Croydon",1994,"Labour Party",40,"Mary Walker","David Wechsler","Labour"
"361.2","Croydon",1994,"Conservative",30,"Mary Walker","David Wechsler","Labour"
"362.1","Croydon",1995,"Labour Party",40,"Mary Walker","David Wechsler","Labour"
"362.2","Croydon",1995,"Conservative",30,"Mary Walker","David Wechsler","Labour"
"363.1","Croydon",1996,"Labour Party",40,"Geraint Davies","David Wechsler","Labour"
"363.2","Croydon",1996,"Conservative",30,"Geraint Davies","David Wechsler","Labour"
"364.1","Croydon",1997,"Labour Party",40,"Valerie Shawcross","David Wechsler","Labour"
"364.2","Croydon",1997,"Conservative",30,"Valerie Shawcross","David Wechsler","Labour"
"365.1","Croydon",1998,"Labour Party",38,"Valerie Shawcross","David Wechsler","Labour"
"365.2","Croydon",1998,"Conservative",31,"Valerie Shawcross","David Wechsler","Labour"
"365.3","Croydon",1998,"Liberal Democrats",1,"Valerie Shawcross","David Wechsler","Labour"
"366.1","Croydon",1999,"Labour Party",38,"Valerie Shawcross","David Wechsler","Labour"
"366.2","Croydon",1999,"Conservative",31,"Valerie Shawcross","David Wechsler","Labour"
"366.3","Croydon",1999,"Liberal Democrats",1,"Valerie Shawcross","David Wechsler","Labour"
"367.1","Croydon",2000,"Labour Party",38,"Hugh Malyan","David Wechsler","Labour"
"367.2","Croydon",2000,"Conservative",31,"Hugh Malyan","David Wechsler","Labour"
"367.3","Croydon",2000,"Liberal Democrats",1,"Hugh Malyan","David Wechsler","Labour"
"368.1","Croydon",2001,"Labour Party",38,"Hugh Malyan","David Wechsler","Labour"
"368.2","Croydon",2001,"Conservative",31,"Hugh Malyan","David Wechsler","Labour"
"368.3","Croydon",2001,"Liberal Democrats",1,"Hugh Malyan","David Wechsler","Labour"
"369.1","Croydon",2002,"Labour Party",37,"Hugh Malyan","David Wechsler","Labour"
"369.2","Croydon",2002,"Conservative",32,"Hugh Malyan","David Wechsler","Labour"
"369.3","Croydon",2002,"Liberal Democrats",1,"Hugh Malyan","David Wechsler","Labour"
"370.1","Croydon",2003,"Labour Party",37,"Hugh Malyan","David Wechsler","Labour"
"370.2","Croydon",2003,"Conservative",32,"Hugh Malyan","David Wechsler","Labour"
"370.3","Croydon",2003,"Liberal Democrats",1,"Hugh Malyan","David Wechsler","Labour"
"371.1","Croydon",2004,"Labour Party",37,"Hugh Malyan","David Wechsler","Labour"
"371.2","Croydon",2004,"Conservative",31,"Hugh Malyan","David Wechsler","Labour"
"371.3","Croydon",2004,"Liberal Democrats",1,"Hugh Malyan","David Wechsler","Labour"
"371.4","Croydon",2004,"Independent",1,"Hugh Malyan","David Wechsler","Labour"
"372.1","Croydon",2005,"Labour Party",37,"Tony Newman","David Wechsler","Labour"
"372.2","Croydon",2005,"Conservative",31,"Tony Newman","David Wechsler","Labour"
"372.3","Croydon",2005,"Liberal Democrats",2,"Tony Newman","David Wechsler","Labour"
"373.1","Croydon",2006,"Conservative",43,"Mike Fisher","David Wechsler","Conservative"
"373.2","Croydon",2006,"Labour Party",27,"Mike Fisher","David Wechsler","Conservative"
"374.1","Croydon",2007,"Conservative",43,"Mike Fisher","Jon Rouse","Conservative"
"374.2","Croydon",2007,"Labour Party",27,"Mike Fisher","Jon Rouse","Conservative"
"375.1","Croydon",2008,"Conservative",45,"Mike Fisher","Jon Rouse","Conservative"
"375.2","Croydon",2008,"Labour Party",25,"Mike Fisher","Jon Rouse","Conservative"
"376.1","Croydon",2009,"Conservative",43,"Mike Fisher","Jon Rouse","Conservative"
"376.2","Croydon",2009,"Labour Party",26,"Mike Fisher","Jon Rouse","Conservative"
"376.3","Croydon",2009,"Independent",1,"Mike Fisher","Jon Rouse","Conservative"
"377.1","Croydon",2010,"Conservative",37,"Mike Fisher","Jon Rouse","Conservative"
"377.2","Croydon",2010,"Labour Party",33,"Mike Fisher","Jon Rouse","Conservative"
"378.1","Croydon",2011,"Conservative",37,"Mike Fisher","Jon Rouse","Conservative"
"378.2","Croydon",2011,"Labour Party",33,"Mike Fisher","Jon Rouse","Conservative"
"379.1","Croydon",2012,"Conservative",37,"Mike Fisher","Jon Rouse","Conservative"
"379.2","Croydon",2012,"Labour Party",33,"Mike Fisher","Jon Rouse","Conservative"
"380.1","Croydon",2013,"Conservative",37,"Mike Fisher","Nathan Elvery","Conservative"
"380.2","Croydon",2013,"Labour Party",33,"Mike Fisher","Nathan Elvery","Conservative"
"381.1","Croydon",2014,"Labour Party",40,"Tony Newman","Nathan Elvery","Labour"
"381.2","Croydon",2014,"Conservative",30,"Tony Newman","Nathan Elvery","Labour"
"382.1","Croydon",2015,"Labour Party",40,"Tony Newman","Nathan Elvery","Labour"
"382.2","Croydon",2015,"Conservative",30,"Tony Newman","Nathan Elvery","Labour"
"383.1","Croydon",2016,"Labour Party",40,"Tony Newman","Jo Negrini","Labour"
"383.2","Croydon",2016,"Conservative",30,"Tony Newman","Jo Negrini","Labour"
"384.1","Croydon",2017,"Labour Party",39,"Tony Newman","Jo Negrini","Labour"
"384.2","Croydon",2017,"Conservative",29,"Tony Newman","Jo Negrini","Labour"
"384.3","Croydon",2017,"Independent",1,"Tony Newman","Jo Negrini","Labour"
"384.4","Croydon",2017,"Vacancies",1,"Tony Newman","Jo Negrini","Labour"
"385.1","Croydon",2018,"Labour Party",41,"Tony Newman","Jo Negrini","Labour"
"385.2","Croydon",2018,"Conservative",29,"Tony Newman","Jo Negrini","Labour"
"386.1","Ealing",1964,"Labour Party",34,"William Hopkins","EJ Cope-Brown","Labour"
"386.2","Ealing",1964,"Conservative",26,"William Hopkins","EJ Cope-Brown","Labour"
"387.1","Ealing",1965,"Labour Party",34,"William Hopkins","EJ Cope-Brown","Labour"
"387.2","Ealing",1965,"Conservative",26,"William Hopkins","EJ Cope-Brown","Labour"
"388.1","Ealing",1966,"Labour Party",34,"William Hopkins","EJ Cope-Brown","Labour"
"388.2","Ealing",1966,"Conservative",26,"William Hopkins","EJ Cope-Brown","Labour"
"389.1","Ealing",1967,"Labour Party",34,"William Hopkins","EJ Cope-Brown","Labour"
"389.2","Ealing",1967,"Conservative",26,"William Hopkins","EJ Cope-Brown","Labour"
